Timestamp,Timestamp (UNIX epoch),Time Since Last Sample (seconds),Platform,Processor,Processor Cores,RAM,Network Interface,Network Bytes Sent (bytes),Network Bytes Received (bytes),Network Packets Sent (packets),Network Packets Received (packets),Current Machine CPU (percent),Current Machine CPU Frequency (megahertz),Current Machine Virtual Memory (percent),Current Machine Virtual Memory (bytes),Current Machine Swap Memory (percent),Current Machine Swap Memory (bytes),Current Machine Disk Usage (percent),Current Machine Disk Usage (bytes),Bitcoin Process ID,Bitcoin Process Virtual Memory (bytes),Bitcoin Process Memory (bytes),Bitcoin Process Shared Memory (bytes),Bitcoin Process Memory (percent),Bitcoin Process CPU (percent),
2023-05-21 17:27:52.761166,1684690072.761166,,"Linux-5.15.0-71-generic-x86_64-with-glibc2.35","x86_64",6,8 GB,"enp0s3",10627826,541350449,46181,370843,17.6,2592.008,17.5,1141358592,0.2,2121728,88.5,52611739648,15887,3743817728.0,618291200.0,341041152.0,7.4,140.0,
2023-05-21 17:27:53.750298,1684690073.750298,0.9891319274902344,"Linux-5.15.0-71-generic-x86_64-with-glibc2.35","x86_64",6,8 GB,"enp0s3",10627900,541350449,46182,370843,39.3,2592.008,17.6,1146564608,0.2,2121728,88.5,52630765568,15887,3755319296.0,635977728.0,354570240.0,7.6,233.3,
2023-05-21 17:27:54.740531,1684690074.740531,0.9902329444885254,"Linux-5.15.0-71-generic-x86_64-with-glibc2.35","x86_64",6,8 GB,"enp0s3",10629177,541352470,46197,370853,51.8,2592.008,17.9,1166934016,0.2,2121728,88.5,52625178624,15887,3750825984.0,617590784.0,333881344.0,7.4,160.0,
2023-05-21 17:27:55.808723,1684690075.808723,1.0681920051574707,"Linux-5.15.0-71-generic-x86_64-with-glibc2.35","x86_64",6,8 GB,"enp0s3",10633241,541355186,46221,370872,43.4,2592.008,17.8,1165611008,0.2,2121728,88.5,52654653440,15887,3760529408.0,617377792.0,331743232.0,7.4,173.3,
2023-05-21 17:27:56.806708,1684690076.806708,0.9979851245880127,"Linux-5.15.0-71-generic-x86_64-with-glibc2.35","x86_64",6,8 GB,"enp0s3",10635781,541357481,46240,370884,39.1,2592.008,17.8,1164509184,0.2,2121728,88.5,52623990784,15887,3746226176.0,626487296.0,338362368.0,7.5,162.5,
2023-05-21 17:27:57.766604,1684690077.766604,0.9598958492279053,"Linux-5.15.0-71-generic-x86_64-with-glibc2.35","x86_64",6,8 GB,"enp0s3",10638941,541378044,46268,370914,33.2,2592.008,18.0,1178279936,0.2,2121728,88.4,52610367488,15887,3762061312.0,619630592.0,328679424.0,7.4,156.2,
2023-05-21 17:27:58.745003,1684690078.745003,0.9783990383148193,"Linux-5.15.0-71-generic-x86_64-with-glibc2.35","x86_64",6,8 GB,"enp0s3",10639015,541378044,46269,370914,35.0,2592.008,17.9,1170931712,0.2,2121728,88.5,52625305600,15887,3774078976.0,625414144.0,332079104.0,7.5,166.7,
2023-05-21 17:27:59.720172,1684690079.720172,0.9751689434051514,"Linux-5.15.0-71-generic-x86_64-with-glibc2.35","x86_64",6,8 GB,"enp0s3",10639015,541378044,46269,370914,40.0,2592.008,17.9,1172602880,0.2,2121728,88.5,52640460800,15887,3776843776.0,631046144.0,335777792.0,7.6,150.0,
2023-05-21 17:28:00.742935,1684690080.742935,1.0227630138397217,"Linux-5.15.0-71-generic-x86_64-with-glibc2.35","x86_64",6,8 GB,"enp0s3",10639089,541378044,46270,370914,33.7,2592.008,18.1,1182216192,0.2,2383872,88.4,52609323008,15887,3780259840.0,626249728.0,328355840.0,7.5,175.0,
2023-05-21 17:28:01.763096,1684690081.763096,1.0201611518859863,"Linux-5.15.0-71-generic-x86_64-with-glibc2.35","x86_64",6,8 GB,"enp0s3",10639768,541378663,46272,370915,38.5,2592.008,18.0,1179688960,0.2,2383872,88.5,52620300288,15887,3760635904.0,617144320.0,314728448.0,7.4,186.7,
